MOLECULE_NAME;SMILES;CHILOGD_2,6
302-472-01;CC(C)(C)N1CCN(Cc2nn3c(cc(nc3c2Br)-n2c(nc3ccccc23)C(F)F)N2CCOCC2)CC1;1,19
302-473-01;Cc1c(CN2CCC(CC2)C(C)(C)O)nn2c(cc(nc12)-c1cccc2[nH]ccc12)N1CCOCC1;1,48
306-069-02;CN1c2ccccc2OC[C@H](Nc2nc(Cl)nc(NCCc3ccc(Br)cc3)n2)C1=O;4,12
307-027-03;CN1CCN(Cc2cccc(c2)C(=O)Nc2cn(C)nc2C(=O)NCc2cccc(F)c2)CC1;0,51
